DAGSETNING;HEFST;;ENDAR;NAMSGREIN;HEITI;HOPUR;STOFA;NAFN STOFU;BYGGING
20.04.2018;09:00;;12:00;V-202-REGR;Rekstrargreining, Viðskipta- og hagfræði - staðarnám;;V102;Málstofa;Venus, 1sta hæð
20.04.2018;14:00;;17:00;E-315-RATO;Rannsóknaraðferðir og tölfræði II, BSc-nám í sálfræði;;M110;Kennslustofa;Mars, fyrsta hæð
20.04.2018;14:00;;17:00;V-204-MAII;Stærðfræði II, Hagfræði 1. ár;;V109;Kennslustofa;Venus, fyrsta hæð
30.04.2018;09:00;;13:00;V-766-ACC1;Rekstrargreining og kostnaðarstýring, Meistaranám VD;;M208;Málstofa;Mars, önnur hæð
02.05.2018;09:00;;13:00;V-802-BULA;Félaga- og fjármunaréttur, Meistaranám VD;;V206;Kennslustofa;2. hæð Venus
02.05.2018;09:00;;12:00;V-840-TRDE;Training and Development, Meistaranám VD;;Heimapróf;;
03.05.2018;08:00;;23:55;V-716-BPMA;Greining og stjórnun viðskiptaferla, Meistaranám VD;;Heimapróf;;
03.05.2018;08:00;;15:00;V-717-CPMA;Stjórnun og eftirlitskerfi, Meistaranám VD;;Birt seinna - óstaðsett;Staður óákveðinn;
04.05.2018;09:00;;13:00;V-765-FIR2;Gerð reikningsskila og staðlar um reikningsskil II, Meistaranám VD;;M102;Kennslustofa;Mars, fyrsta hæð
07.05.2018;09:00;;13:00;V-733-ILEC;International and labour economics, Meistaranám VD;;Heimapróf;;
07.05.2018;09:00;;12:00;V-871-AFLE;Reikningshald, afleiður og aðrir fjármálagerningar, Meistaranám VD;;M208;Málstofa;Mars, önnur hæð
08.05.2018;08:00;;23:55;V-765-IMIS;Innleiðing upplýsingakerfa, Meistaranám VD;;Heimapróf;;
09.05.2018;09:00;;12:00;V-767-SARE;Samstæðureikningsskil fyrirtækja, Meistaranám VD;;M111;Kennslustofa;Mars, fyrsta hæð
11.05.2018;09:00;;12:00;V-784-REK5;Rekstrargreining og viðskiptagreind, Meistaranám VD;;Heimapróf;;
15.05.2018;09:00;;11:00;V-235-PFPC;Fjármál hins opinbera og almannavalfræði, Hagfræði 2.ár;;V206;Kennslustofa;2. hæð Venus
09.04.2018;09:00;;12:00;L-406-FJA4;Fjármunaréttur IV - Eignaréttur, BA - 2. ár;;M110;Kennslustofa;Mars, fyrsta hæð
09.04.2018;14:00;;18:00;L-202-FELA;Félagaréttur, BA - 1. ár;;M105;Málstofa;Mars, fyrsta hæð
13.04.2018;09:00;;13:00;L-401-STJR;Stjórnsýsluréttur, BA - 1. ár;;V108;Kennslustofa;Venus, fyrsta hæð (V.1.03=2.1.0)
16.04.2018;09:00;;13:00;L-402-REFS;Refsiréttur, BA - 2. ár;;M124;Kennslustofa;Mars, fyrsta hæð
18.04.2018;09:00;;12:00;L-205-FJA2;Fjármunaréttur II - Kröfuréttur II, BA - 1. ár;;V102;Málstofa;Venus, 1sta hæð
